commenterID,commentBody,date_posted
UCLSWRi5PUl7kg1c9WfkzRJQ,Iran is 100% destroyed but that last 0% is really causing havoc,2026-03-24T13:54:49Z
UCF8uddYi53uoy1rbI7Q73zQ,"200 pounds is nothing compared to the 2000 pounds bombs, falling on tents in Gaza. You Hypocrites make me so sick.",2026-03-24T13:54:47Z
UCdYEzxGKo8YK94ZghSuHlnw,You guys are literally state media. We are no different than the commies at this point lol,2026-03-24T13:54:44Z
UCZ-xqCBcerAk9IH6sF86BwA,Bro this is terrible,2026-03-24T13:53:46Z
UCRq2qe3M1owx4de1Kv373xg,fake news,2026-03-24T13:53:29Z
UCBdX76kFphjt5ezJUqpRumw,I hope things get better for them ❤😊,2026-03-24T13:53:11Z
UCq_GhRyZvbd5V8Qcg4K7JXQ,North Korea are you paying attention?,2026-03-24T13:53:01Z
UC2s0ldsAOr2TFhnKYOemljA,Stoped 8 imaginary wars and started a real one 🙄,2026-03-24T13:52:44Z
UCqgXQJDSnXjaQBsA9fhQMFA,HAHAH,2026-03-24T13:52:40Z
UCp5NF3gEaD87cepYCoTzylw,Wars are Bad! History will write this: A.I. loses to Generals.,2026-03-24T13:52:40Z
UCN-FHsZ1uXXOzMUPqmJ2trg,Show the damage in Tel Aviv. Or else your speech is useless. Come back to America .,2026-03-24T13:52:33Z
UCWqpA3u27taJ3gX5pv-_B_A,What about the underground bunkers with ballistic missiles that's where the problem is because this evil Iranian regime must be delt with once and for all,2026-03-24T13:52:19Z
UCXtKw9tJsRrV6fKHyRBUd_g,Hopefully israel gets nuked,2026-03-24T13:52:09Z
UCHGXcxrCl-bJwA4pQvH_vLA,What happened to Israeli's air defense system?,2026-03-24T13:51:47Z
UCA_Ex0QCb3hRMz_s73G224w,Trump senses the epic fury of his own citizens against the whispers of Jewish warmongers.,2026-03-24T13:51:19Z
UCH7bt9jHFKEWUC2ArxEKn_w,Iran membela diri❤🇲🇨❤️🇲🇨❤️,2026-03-24T13:51:08Z
UCVGP7S0-3H7dX0rxbdAeciA,"Did the Zionists expect cakes and chocolates to rain from the sky during the war? You took thousands of bombs and missiles from America's pockets and dropped them on Syria, Lebanon, Palestine, Iraq and Iran, and now a small missile has hit a spot. You scream and shout so loudly that the whole world, even the Eskimos, will be notified???? If you started a war yourself and dropped one bomb, you should expect to receive ten bombs. If it weren't for American taxpayer money and Trump's stupidity, you would never be able to pull up your pants, let alone fight. You are a burden on US tax payers.",2026-03-24T13:51:08Z
UC3WBy2LTnmBpYV5et9j1Tbg,The diplomatic talks are going fire,2026-03-24T13:50:58Z
UCgH5m4nfqtQQ3fTIVoHQv-w,A 220 pound warhead? Says who?,2026-03-24T13:50:40Z
UC8xDsry4g4mPdEr2d3zGTFQ,Burn them alll,2026-03-24T13:50:31Z
UC9gzWOTYbn5rJyT5xn7eJHQ,"You cannot do a deal with terrorists,is trump mad?",2026-03-24T13:49:29Z
UCca0xbc-8U_uiLLdQI0o6pg,"A ground offensive is needed. A ground offensive would stop the missile and drone attacks. In the meantime, Iran continues to seek and hide in tunnels and caves and continue their attacks. The Iranians obviously are well armed.😅",2026-03-24T13:49:24Z
UC3tlguJ8nuKzsag3MAat35w,😂😂😂😂 blow Israel into oblivion 😂😂😂,2026-03-24T13:48:36Z
UCNdq_KM-TF10ker_h5kt9Bw,"the us gov officials say the terror state cannot be trusted, but your making a deal. by the way I thought the us  already won?",2026-03-24T13:48:22Z
UC15WklzjHT6ZCil6IbkCDSQ,Iran's energy infrastructure was also targeted after Trump said they would not be.,2026-03-24T13:48:18Z
UCxcbfI3uy55Whe5uH_Rx_Dw,"Iran FIRST, Cartels SECOND, Somalia THIRD! In that order knock all these assholes off the board once and for all! 🎉",2026-03-24T13:47:34Z
UCeJqlbFTJBBj1IPSz4xCLWA,Israeli zionist scum and MAGA freaks stay the f**k out of Ireland 🇮🇪 or u will be dealt with accordingly 🇵🇸,2026-03-24T13:47:21Z
UCLkVxmS0tqe2m0hI8YlqMHw,I thought we had already won?...,2026-03-24T13:47:02Z
UCKF1x339IULHfcaIiFMrV0A,But there are no leaders to make a deal with...,2026-03-24T13:47:01Z
